DEPARTAMENTO,MUNICIPIO,CODIGO DANE,CLASE BIEN,FECHA HECHO,CANTIDAD
CAQUETA,FLORENCIA (CT),18001,MOTOCICLETA,2010-01-04,1
SANTANDER,PIEDECUESTA,68547,MOTOCICLETA,2010-01-04,1
HUILA,NEIVA (CT),41001,MOTOCICLETA,2010-01-04,1
CUNDINAMARCA,SOACHA,25754,AUTOMOVIL,2010-01-04,1
CUNDINAMARCA,MADRID,25430,CAMION,2010-01-04,1
ANTIOQUIA,MEDELLIN (CT),50010,TAXI,2010-01-04,1
VALLE,SAN PEDRO,76670,TRACTO CAMION,2010-01-04,1
CALDAS,MANIZALES (CT),17001,CAMIONETA,2010-01-04,1
BOLIVAR,MARIA LA BAJA,13442,AUTOMOVIL,2010-01-04,1
ANTIOQUIA,MEDELLIN (CT),50010,AUTOMOVIL,2010-01-04,1
VALLE,CALI (CT),76001,AUTOMOVIL,2010-01-04,1
NARINO,PASTO (CT),52001,AUTOMOVIL,2010-01-04,1
ANTIOQUIA,MEDELLIN (CT),50010,MOTOCICLETA,2010-01-05,1
CORDOBA,SAN PELAYO,23686,MOTOCICLETA,2010-01-05,1
CESAR,VALLEDUPAR (CT),20001,MOTOCICLETA,2010-01-05,1
CUNDINAMARCA,MADRID,25430,MOTOCICLETA,2010-01-05,1
ANTIOQUIA,SEGOVIA,57360,MOTOCICLETA,2010-01-05,1
MAGDALENA,CIENAGA,47189,MOTOCICLETA,2010-01-05,1
HUILA,NEIVA (CT),41001,MOTOCICLETA,2010-01-05,1
BOLIVAR,CARTAGENA (CT),13001,MOTOCICLETA,2010-01-05,1
VALLE,CALI (CT),76001,MOTOCICLETA,2010-01-05,1
ATLANTICO,BARRANQUILLA (CT),80010,MOTOCICLETA,2010-01-05,1
VALLE,CARTAGO,76147,MOTOCICLETA,2010-01-05,1
META,VILLAVICENCIO (CT),50001,MOTOCICLETA,2010-01-05,1
NARINO,TUQUERRES,52838,MOTOCICLETA,2010-01-05,1
CORDOBA,CHINU,23182,MOTOCICLETA,2010-01-05,1
CORDOBA,SAHAGUN,23660,MOTOCICLETA,2010-01-05,1
NORTE DE SANTANDER,CUCUTA (CT),54001,MOTOCICLETA,2010-01-05,1
RISARALDA,DOSQUEBRADAS,66170,MOTOCICLETA,2010-01-05,1
CORDOBA,PURISIMA,23586,MOTOCICLETA,2010-01-05,1
NORTE DE SANTANDER,CUCUTA (CT),54001,AUTOMOVIL,2010-01-05,1
BOGOTA,BOGOTA D.C. (CT),11001,AUTOMOVIL,2010-01-05,1
BOGOTA,BOGOTA D.C. (CT),11001,CAMIONETA,2010-01-05,1
VALLE,YUMBO,76892,TAXI,2010-01-05,1
CUNDINAMARCA,FACATATIVA,25269,TRACTO CAMION,2010-01-05,1
VALLE,BUENAVENTURA,76109,VEHICULO PANEL,2010-01-05,1
NARINO,PASTO (CT),52001,AUTOMOVIL,2010-01-05,1
RISARALDA,DOSQUEBRADAS,66170,AUTOMOVIL,2010-01-05,1
CUNDINAMARCA,GIRARDOT,25307,AUTOMOVIL,2010-01-05,1
CORDOBA,SAN PELAYO,23686,VEHICULO PANEL,2010-01-05,1
CORDOBA,MONTERIA (CT),23001,BUSETA,2010-01-05,1
VALLE,BUENAVENTURA,76109,TRACTO CAMION,2010-01-05,1
ANTIOQUIA,RIONEGRO,56150,AUTOMOVIL,2010-01-05,1
NARINO,TAMINANGO,52786,AUTOMOVIL,2010-01-05,1
VALLE,CALI (CT),76001,CAMIONETA,2010-01-05,1
VALLE,PALMIRA,76520,CAMIONETA,2010-01-05,1
ANTIOQUIA,MEDELLIN (CT),50010,AUTOMOVIL,2010-01-05,1
CUNDINAMARCA,GUADUAS,25320,CAMION,2010-01-05,1
MAGDALENA,SANTA MARTA (CT),47001,TRACTO CAMION,2010-01-05,1
RISARALDA,PEREIRA (CT),66001,MOTOCICLETA,2010-01-06,1
