AÑO,CODIGO_DANE_MUNICIPIO,DEPARTAMENTO,MUNICIPIO,AÑO_std,VEHICULOS_REGISTRADOS_std,VEHICULOS_HURTADOS_std,VEHICULOS_RECUPERADOS_std,TIPO_VEHICULO_AUTOMOTOR,TIPO_VEHICULO_MOTOCICLETA,DEPARTAMENTO_AMAZONAS,DEPARTAMENTO_ANTIOQUIA,DEPARTAMENTO_ARAUCA,DEPARTAMENTO_ATLANTICO,DEPARTAMENTO_BOGOTA D.C.,DEPARTAMENTO_BOLIVAR,DEPARTAMENTO_BOYACA,DEPARTAMENTO_CALDAS,DEPARTAMENTO_CAQUETA,DEPARTAMENTO_CASANARE,DEPARTAMENTO_CAUCA,DEPARTAMENTO_CESAR,DEPARTAMENTO_CHOCO,DEPARTAMENTO_CORDOBA,DEPARTAMENTO_CUNDINAMARCA,DEPARTAMENTO_GUAINIA,DEPARTAMENTO_GUAVIARE,DEPARTAMENTO_HUILA,DEPARTAMENTO_LA GUAJIRA,DEPARTAMENTO_MAGDALENA,DEPARTAMENTO_META,DEPARTAMENTO_NARINO,DEPARTAMENTO_NORTE DE SANTANDER,DEPARTAMENTO_PUTUMAYO,DEPARTAMENTO_QUINDIO,DEPARTAMENTO_RISARALDA,DEPARTAMENTO_SAN ANDRES ISLAS,DEPARTAMENTO_SANTANDER,DEPARTAMENTO_SUCRE,DEPARTAMENTO_TOLIMA,DEPARTAMENTO_VALLE DEL CAUCA,DEPARTAMENTO_VAUPES,DEPARTAMENTO_VICHADA,TIPO_VEHICULO_ORDINAL,AÑO_BIN_ORDINAL,REGISTRADOS_BIN_ORDINAL,PCA_1,PCA_2,PCA_3,PCA_4
1900,54261,NORTE DE SANTANDER,EL ZULIA,-4.94669804352678,-0.19870602174400762,-0.09478539097918356,-0.2036596804051062,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,-1.5921265537954512,-4.20743197332109,2.0148358801438206,0.5126916766778081
1900,63190,QUINDIO,CIRCASIA,-4.94669804352678,-0.19916754164704187,-0.09478539097918356,-0.2036596804051062,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.0,0.0,-1.592306313487444,-4.207568991584034,2.014437980470326,0.512751584269012
1900,68001,SANTANDER,BUCARAMANGA,-4.94669804352678,-0.19916754164704187,-0.09478539097918356,-0.2036596804051062,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0.0,0.0,-1.592306313487444,-4.207568991584034,2.014437980470326,0.512751584269012
1900,68081,SANTANDER,BARRANCABERMEJA,-4.94669804352678,-0.19916754164704187,-0.09478539097918356,-0.2036596804051062,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0.0,0.0,-1.592306313487444,-4.207568991584034,2.014437980470326,0.512751584269012
1900,70670,SUCRE,SAMPUES,-4.94669804352678,-0.19916754164704187,-0.09478539097918356,-0.2036596804051062,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0.0,0.0,-1.592306313487444,-4.207568991584034,2.014437980470326,0.512751584269012
1900,73001,TOLIMA,IBAGUE,-4.94669804352678,-0.19870602174400762,-0.09478539097918356,-0.2036596804051062,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0.0,0.0,-1.5921265537954512,-4.20743197332109,2.0148358801438206,0.5126916766778081
1900,76318,VALLE DEL CAUCA,GUACARI,-4.94669804352678,-0.19916754164704187,-0.09478539097918356,-0.2036596804051062,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0.0,0.0,-1.592306313487444,-4.207568991584034,2.014437980470326,0.512751584269012
1900,80780,ATLANTICO,BARANOA,-4.94669804352678,-0.19870602174400762,-0.09478539097918356,-0.2036596804051062,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,0.0,-1.5921265537954512,-4.20743197332109,2.0148358801438206,0.5126916766778081
1901,5266,ANTIOQUIA,ENVIGADO,-4.89853669858344,-0.19916754164704187,-0.09478539097918356,-0.2036596804051062,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,0.0,-1.579395747059947,-4.1664820055956495,1.9936164892829649,0.5071696931559989
1901,8078,ATLANTICO,BARANOA,-4.89853669858344,-0.19824450184097334,-0.09478539097918356,-0.2036596804051062,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,0.0,-1.5790362276759613,-4.166207969069761,1.994412288629955,0.5070498779735911
