DEPARTAMENTO,MUNICIPIO,CODIGO DANE,CLASE BIEN,FECHA HECHO,CANTIDAD,TIPO_VEHICULO,AÑO,CODIGO_DANE_MUNICIPIO
VALLE,PALMIRA,76520,AUTOMOVIL,2010-01-03,1,AUTOMOTOR,2010,76520
NORTE DE SANTANDER,CUCUTA (CT),54001,AUTOMOVIL,2010-01-03,1,AUTOMOTOR,2010,54001
ANTIOQUIA,BELLO,50880,CAMIONETA,2010-01-03,1,AUTOMOTOR,2010,50880
CUNDINAMARCA,FUSAGASUGA,25290,CAMION,2010-01-03,1,AUTOMOTOR,2010,25290
CAQUETA,FLORENCIA (CT),18001,AUTOMOVIL,2010-01-03,1,AUTOMOTOR,2010,18001
NARINO,IPIALES,52356,AUTOMOVIL,2010-01-03,1,AUTOMOTOR,2010,52356
SUCRE,COVENAS,70221,CAMION,2010-01-03,1,AUTOMOTOR,2010,70221
CASANARE,YOPAL (CT),85001,CAMIONETA,2010-01-03,1,AUTOMOTOR,2010,85001
ANTIOQUIA,MEDELLIN (CT),50010,AUTOMOVIL,2010-01-03,1,AUTOMOTOR,2010,50010
ANTIOQUIA,MARINILLA,54400,MOTOCICLETA,2010-01-04,1,MOTOCICLETA,2010,54400
NARINO,CUMBAL,52227,MOTOCICLETA,2010-01-04,1,MOTOCICLETA,2010,52227
BOGOTA,BOGOTA D.C. (CT),11001,MOTOCICLETA,2010-01-04,1,MOTOCICLETA,2010,11001
PUTUMAYO,VILLAGARZON,86885,MOTOCICLETA,2010-01-04,1,MOTOCICLETA,2010,86885
ANTIOQUIA,MEDELLIN (CT),50010,MOTOCICLETA,2010-01-04,1,MOTOCICLETA,2010,50010
QUINDIO,ARMENIA (CT),63001,MOTOCICLETA,2010-01-04,1,MOTOCICLETA,2010,63001
ATLANTICO,BARRANQUILLA (CT),80010,MOTOCICLETA,2010-01-04,1,MOTOCICLETA,2010,80010
CALDAS,MANIZALES (CT),17001,MOTOCICLETA,2010-01-04,1,MOTOCICLETA,2010,17001
NARINO,GUALMATAN,52323,MOTOCICLETA,2010-01-04,1,MOTOCICLETA,2010,52323
CASANARE,YOPAL (CT),85001,MOTOCICLETA,2010-01-04,1,MOTOCICLETA,2010,85001
VALLE,ZARZAL,76895,MOTOCICLETA,2010-01-04,1,MOTOCICLETA,2010,76895
VALLE,CALI (CT),76001,MOTOCICLETA,2010-01-04,1,MOTOCICLETA,2010,76001
VALLE,PALMIRA,76520,MOTOCICLETA,2010-01-04,1,MOTOCICLETA,2010,76520
BOYACA,PUERTO BOYACA,15572,MOTOCICLETA,2010-01-04,1,MOTOCICLETA,2010,15572
NARINO,TAMINANGO,52786,MOTOCICLETA,2010-01-04,1,MOTOCICLETA,2010,52786
NARINO,SAN ANDRES DE TUMACO,52835,MOTOCICLETA,2010-01-04,1,MOTOCICLETA,2010,52835
VALLE,TULUA,76834,MOTOCICLETA,2010-01-04,1,MOTOCICLETA,2010,76834
CAQUETA,FLORENCIA (CT),18001,MOTOCICLETA,2010-01-04,1,MOTOCICLETA,2010,18001
SANTANDER,PIEDECUESTA,68547,MOTOCICLETA,2010-01-04,1,MOTOCICLETA,2010,68547
HUILA,NEIVA (CT),41001,MOTOCICLETA,2010-01-04,1,MOTOCICLETA,2010,41001
CUNDINAMARCA,SOACHA,25754,AUTOMOVIL,2010-01-04,1,AUTOMOTOR,2010,25754
CUNDINAMARCA,MADRID,25430,CAMION,2010-01-04,1,AUTOMOTOR,2010,25430
ANTIOQUIA,MEDELLIN (CT),50010,TAXI,2010-01-04,1,AUTOMOTOR,2010,50010
VALLE,SAN PEDRO,76670,TRACTO CAMION,2010-01-04,1,AUTOMOTOR,2010,76670
CALDAS,MANIZALES (CT),17001,CAMIONETA,2010-01-04,1,AUTOMOTOR,2010,17001
BOLIVAR,MARIA LA BAJA,13442,AUTOMOVIL,2010-01-04,1,AUTOMOTOR,2010,13442
ANTIOQUIA,MEDELLIN (CT),50010,AUTOMOVIL,2010-01-04,1,AUTOMOTOR,2010,50010
VALLE,CALI (CT),76001,AUTOMOVIL,2010-01-04,1,AUTOMOTOR,2010,76001
NARINO,PASTO (CT),52001,AUTOMOVIL,2010-01-04,1,AUTOMOTOR,2010,52001
ANTIOQUIA,MEDELLIN (CT),50010,MOTOCICLETA,2010-01-05,1,MOTOCICLETA,2010,50010
CORDOBA,SAN PELAYO,23686,MOTOCICLETA,2010-01-05,1,MOTOCICLETA,2010,23686
CESAR,VALLEDUPAR (CT),20001,MOTOCICLETA,2010-01-05,1,MOTOCICLETA,2010,20001
CUNDINAMARCA,MADRID,25430,MOTOCICLETA,2010-01-05,1,MOTOCICLETA,2010,25430
ANTIOQUIA,SEGOVIA,57360,MOTOCICLETA,2010-01-05,1,MOTOCICLETA,2010,57360
MAGDALENA,CIENAGA,47189,MOTOCICLETA,2010-01-05,1,MOTOCICLETA,2010,47189
HUILA,NEIVA (CT),41001,MOTOCICLETA,2010-01-05,1,MOTOCICLETA,2010,41001
BOLIVAR,CARTAGENA (CT),13001,MOTOCICLETA,2010-01-05,1,MOTOCICLETA,2010,13001
VALLE,CALI (CT),76001,MOTOCICLETA,2010-01-05,1,MOTOCICLETA,2010,76001
ATLANTICO,BARRANQUILLA (CT),80010,MOTOCICLETA,2010-01-05,1,MOTOCICLETA,2010,80010
VALLE,CARTAGO,76147,MOTOCICLETA,2010-01-05,1,MOTOCICLETA,2010,76147
META,VILLAVICENCIO (CT),50001,MOTOCICLETA,2010-01-05,1,MOTOCICLETA,2010,50001
NARINO,TUQUERRES,52838,MOTOCICLETA,2010-01-05,1,MOTOCICLETA,2010,52838
CORDOBA,CHINU,23182,MOTOCICLETA,2010-01-05,1,MOTOCICLETA,2010,23182
CORDOBA,SAHAGUN,23660,MOTOCICLETA,2010-01-05,1,MOTOCICLETA,2010,23660
NORTE DE SANTANDER,CUCUTA (CT),54001,MOTOCICLETA,2010-01-05,1,MOTOCICLETA,2010,54001
RISARALDA,DOSQUEBRADAS,66170,MOTOCICLETA,2010-01-05,1,MOTOCICLETA,2010,66170
CORDOBA,PURISIMA,23586,MOTOCICLETA,2010-01-05,1,MOTOCICLETA,2010,23586
NORTE DE SANTANDER,CUCUTA (CT),54001,AUTOMOVIL,2010-01-05,1,AUTOMOTOR,2010,54001
BOGOTA,BOGOTA D.C. (CT),11001,AUTOMOVIL,2010-01-05,1,AUTOMOTOR,2010,11001
BOGOTA,BOGOTA D.C. (CT),11001,CAMIONETA,2010-01-05,1,AUTOMOTOR,2010,11001
VALLE,YUMBO,76892,TAXI,2010-01-05,1,AUTOMOTOR,2010,76892
CUNDINAMARCA,FACATATIVA,25269,TRACTO CAMION,2010-01-05,1,AUTOMOTOR,2010,25269
VALLE,BUENAVENTURA,76109,VEHICULO PANEL,2010-01-05,1,AUTOMOTOR,2010,76109
NARINO,PASTO (CT),52001,AUTOMOVIL,2010-01-05,1,AUTOMOTOR,2010,52001
RISARALDA,DOSQUEBRADAS,66170,AUTOMOVIL,2010-01-05,1,AUTOMOTOR,2010,66170
CUNDINAMARCA,GIRARDOT,25307,AUTOMOVIL,2010-01-05,1,AUTOMOTOR,2010,25307
CORDOBA,SAN PELAYO,23686,VEHICULO PANEL,2010-01-05,1,AUTOMOTOR,2010,23686
CORDOBA,MONTERIA (CT),23001,BUSETA,2010-01-05,1,AUTOMOTOR,2010,23001
VALLE,BUENAVENTURA,76109,TRACTO CAMION,2010-01-05,1,AUTOMOTOR,2010,76109
ANTIOQUIA,RIONEGRO,56150,AUTOMOVIL,2010-01-05,1,AUTOMOTOR,2010,56150
NARINO,TAMINANGO,52786,AUTOMOVIL,2010-01-05,1,AUTOMOTOR,2010,52786
VALLE,CALI (CT),76001,CAMIONETA,2010-01-05,1,AUTOMOTOR,2010,76001
VALLE,PALMIRA,76520,CAMIONETA,2010-01-05,1,AUTOMOTOR,2010,76520
